tune_popularity_name,tune_id,tune_popularity_tunebooks,tunes_name,tunes_setting_id_1,tunes_setting_id_2,tunes_setting_id_3,tunes_setting_id_4,tunes_setting_id_5,tunes_setting_id_6,tunes_setting_id_7,tunes_setting_id_8,tunes_setting_id_9,tunes_setting_id_10,tunes_setting_id_11,tunes_setting_id_12,tunes_setting_id_13,tunes_setting_id_14,tunes_setting_id_15,tunes_setting_id_16,tunes_setting_id_17,tunes_setting_id_18,tunes_setting_id_19,tunes_setting_id_20,tunes_setting_id_21,tunes_setting_id_22,tunes_setting_id_23,tunes_setting_id_24,tunes_setting_id_25,tunes_setting_id_26,tunes_setting_id_27,tunes_setting_id_28,tunes_setting_id_29,tunes_setting_id_30,tunes_setting_id_31,tunes_setting_id_32,tunes_type_1,tunes_type_2,tunes_type_3,tunes_type_4,tunes_type_5,tunes_type_6,tunes_type_7,tunes_type_8,tunes_type_9,tunes_type_10,tunes_type_11,tunes_type_12,tunes_type_13,tunes_type_14,tunes_type_15,tunes_type_16,tunes_type_17,tunes_type_18,tunes_type_19,tunes_type_20,tunes_type_21,tunes_type_22,tunes_type_23,tunes_type_24,tunes_type_25,tunes_type_26,tunes_type_27,tunes_type_28,tunes_type_29,tunes_type_30,tunes_type_31,tunes_type_32,tunes_meter_1,tunes_meter_2,tunes_meter_3,tunes_meter_4,tunes_meter_5,tunes_meter_6,tunes_meter_7,tunes_meter_8,tunes_meter_9,tunes_meter_10,tunes_meter_11,tunes_meter_12,tunes_meter_13,tunes_meter_14,tunes_meter_15,tunes_meter_16,tunes_meter_17,tunes_meter_18,tunes_meter_19,tunes_meter_20,tunes_meter_21,tunes_meter_22,tunes_meter_23,tunes_meter_24,tunes_meter_25,tunes_meter_26,tunes_meter_27,tunes_meter_28,tunes_meter_29,tunes_meter_30,tunes_meter_31,tunes_meter_32,tunes_mode_1,tunes_mode_2,tunes_mode_3,tunes_mode_4,tunes_mode_5,tunes_mode_6,tunes_mode_7,tunes_mode_8,tunes_mode_9,tunes_mode_10,tunes_mode_11,tunes_mode_12,tunes_mode_13,tunes_mode_14,tunes_mode_15,tunes_mode_16,tunes_mode_17,tunes_mode_18,tunes_mode_19,tunes_mode_20,tunes_mode_21,tunes_mode_22,tunes_mode_23,tunes_mode_24,tunes_mode_25,tunes_mode_26,tunes_mode_27,tunes_mode_28,tunes_mode_29,tunes_mode_30,tunes_mode_31,tunes_mode_32,tunes_date_1,tunes_date_2,tunes_date_3,tunes_date_4,tunes_date_5,tunes_date_6,tunes_date_7,tunes_date_8,tunes_date_9,tunes_date_10,tunes_date_11,tunes_date_12,tunes_date_13,tunes_date_14,tunes_date_15,tunes_date_16,tunes_date_17,tunes_date_18,tunes_date_19,tunes_date_20,tunes_date_21,tunes_date_22,tunes_date_23,tunes_date_24,tunes_date_25,tunes_date_26,tunes_date_27,tunes_date_28,tunes_date_29,tunes_date_30,tunes_date_31,tunes_date_32,tunes_username_1,tunes_username_2,tunes_username_3,tunes_username_4,tunes_username_5,tunes_username_6,tunes_username_7,tunes_username_8,tunes_username_9,tunes_username_10,tunes_username_11,tunes_username_12,tunes_username_13,tunes_username_14,tunes_username_15,tunes_username_16,tunes_username_17,tunes_username_18,tunes_username_19,tunes_username_20,tunes_username_21,tunes_username_22,tunes_username_23,tunes_username_24,tunes_username_25,tunes_username_26,tunes_username_27,tunes_username_28,tunes_username_29,tunes_username_30,tunes_username_31,tunes_username_32,aliases_name,aliases_alias
"Clumsy Lover, The",16,620,"Clumsy Lover, The",16,12386.0,21146.0,21856.0,29449.0,29450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,reel,reel,reel,reel,reel,reel,,,,,,,,,,,,,,,,,,,,,,,,,,,4/4,4/4,4/4,4/4,4/4,4/4,,,,,,,,,,,,,,,,,,,,,,,,,,,Amajor,Dmixolydian,Amajor,Amixolydian,Amixolydian,Dmajor,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-05-18 04:34:35,2007-08-07 04:55:45,2013-03-10 18:41:20,2013-07-07 11:23:53,2016-12-07 04:48:07,2016-12-07 05:14:14,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeremy,JACKB,Knolle,stanton135,Pangur Bán,JACKB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coleraine, The",17,785,"Coleraine, The",17,12387.0,22459.0,24890.0,28652.0,33405.0,35248.0,36520.0,36521.0,36524.0,41871.0,43121.0,47623.0,,,,,,,,,,,,,,,,,,,,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,,,,,,,,,,,,,,,,,,,,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,,,,,,,,,,,,,,,,,,,,Aminor,Bminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Bminor,Aminor,,,,,,,,,,,,,,,,,,,,2001-05-18 04:35:57,2007-05-18 11:25:56,2013-10-11 20:07:21,2014-09-30 08:33:30,2016-04-20 07:23:32,2018-10-27 02:31:50,2019-07-08 19:47:43,2019-11-10 04:48:16,2019-11-10 05:15:07,2019-11-10 18:01:45,2021-09-02 16:13:42,2022-02-14 00:43:15,2023-07-10 11:49:55,,,,,,,,,,,,,,,,,,,,Jeremy,ceolachan,JACKB,Vokuhila,bravesentry,NfldWhistler,JJ,NfldWhistler,NfldWhistler,NfldWhistler,Chee Z,shanachie,Martial,,,,,,,,,,,,,,,,,,,,"Coleraine, The","['Colairne', ""Coleraine's"", 'Colerane, The', 'Colraine', 'Colraine, The', 'Corelaine', 'Kitty Of Coleraine']"
"Concertina, The",18,1154,"Concertina, The",18,12388.0,12389.0,23829.0,27968.0,29382.0,44486.0,47029.0,47037.0,47334.0,,,,,,,,,,,,,,,,,,,,,,,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,,,,,,,,,,,,,,,,,,,,,,,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,,,,,,,,,,,,,,,,,,,,,,,Dmajor,Dmajor,Dmajor,Dmajor,Gmajor,Dmajor,Cmajor,Dmajor,Dmajor,Amajor,,,,,,,,,,,,,,,,,,,,,,,2001-05-18 04:39:34,2008-01-08 07:21:29,2009-01-12 03:54:35,2014-03-19 23:57:28,2015-12-22 22:41:05,2016-11-25 17:45:15,2022-08-03 12:10:47,2023-05-05 17:05:46,2023-05-06 09:18:14,2023-06-06 01:21:16,,,,,,,,,,,,,,,,,,,,,,,Jeremy,JACKB,gian marco,Banjo Joe,JACKB,Thady Quill,fionán,Benjamin Glauser,Fernando Durbán Galnares,Shawn Cassady,,,,,,,,,,,,,,,,,,,,,,,"Concertina, The","['Farting Badger, The', ""Miko Russel's"", 'Old Concertina, The']"
"Connaughtman's Rambles, The",19,2884,"Connaughtman's Rambles, The",19,12390.0,12391.0,12393.0,12394.0,12395.0,12396.0,28346.0,28759.0,30302.0,31497.0,32866.0,33886.0,34120.0,34862.0,35312.0,37080.0,37083.0,37115.0,42803.0,46495.0,46660.0,47099.0,48116.0,,,,,,,,,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,,,,,,,,,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,,,,,,,,,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Edorian,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,,,,,,,,,2001-05-18 06:53:52,2004-03-30 14:52:39,2006-11-22 05:53:27,2006-11-22 11:11:23,2007-11-14 22:29:32,2008-12-13 14:18:32,2009-03-07 19:52:58,2016-02-22 03:20:25,2016-05-10 02:19:08,2017-05-03 21:31:37,2017-12-12 09:56:03,2018-08-11 20:19:51,2019-01-01 15:45:15,2019-01-24 02:34:21,2019-05-12 19:29:58,2019-07-16 01:52:53,2020-01-20 20:35:39,2020-01-20 22:27:48,2020-01-26 04:03:43,2022-01-16 21:13:24,2023-03-20 17:36:22,2023-04-04 21:53:19,2023-05-11 01:53:58,2023-09-07 17:16:01,,,,,,,,,Jeremy,fer,ceolachan,ceolachan,Will Harmon,tin_whistler,GaryAMartin,Anthony Townsend,Smiley,Jim Nikora,Sergei Ejov,NfldWhistler,Eubonian,Ragadash7,NfldWhistler,JACKB,NfldWhistler,NfldWhistler,NfldWhistler,JACKB,Oisin Morgan,Denise123,Aaron Bergen,jdogbishop96,,,,,,,,,"Connaughtman's Rambles, The","['Bean Ag Baint Duileasc', ""Connacht Man's Rambles, The"", ""Connachtman's Rambles, The"", ""Connachtmann's Rambles, The"", ""Connaght Man's Rambles"", ""Connaught Man's Ramble, The"", ""Connaught Man's Rambles, The"", 'Connaughtman Rambles, The', ""Connaughtman's"", ""Connaughtman's Ramble"", ""Connaughtman's Ramble, The"", ""Connaughtman's Rambles, The"", 'Duck From Drummock, The', 'Gathering Dilisk', 'Mickey The Moulder', ""Mooney's""]"
"Cup Of Tea, The",20,2067,"Cup Of Tea, The",20,22987.0,23483.0,23854.0,23896.0,32964.0,32966.0,33643.0,34325.0,45784.0,47475.0,,,,,,,,,,,,,,,,,,,,,,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,,,,,,,,,,,,,,,,,,,,,,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,,,,,,,,,,,,,,,,,,,,,,Edorian,Edorian,Edorian,Edorian,Edorian,Dmajor,Edorian,Eminor,Edorian,Edorian,Edorian,,,,,,,,,,,,,,,,,,,,,,2001-05-21 03:39:15,2013-12-05 12:56:41,2014-02-09 10:45:17,2014-03-24 13:01:38,2014-03-31 00:17:57,2018-08-27 11:29:22,2018-08-27 14:50:17,2018-12-01 15:44:21,2019-02-16 21:15:50,2023-01-03 14:46:11,2023-06-23 12:29:28,,,,,,,,,,,,,,,,,,,,,,Jeremy,Dalta na bPíob,JACKB,swisspiper,BillScates,Edgar Bolton,Edgar Bolton,Daniel Parker,Daniel Parker,TJ,Makenzie,,,,,,,,,,,,,,,,,,,,,,"Cup Of Tea, The","['An Cupán Sughtromáin', 'An Cupán Tae', ""Cup O' Tea, The"", 'Cup Of Overdrawn Tea, The', 'Sweet Cup Of Tea', 'Unfortunate Cup Of Tea, The']"
Castle Kelly,21,1386,Castle Kelly,21,12397.0,12398.0,12399.0,12400.0,24066.0,24460.0,27917.0,27918.0,28097.0,30146.0,31097.0,35225.0,35442.0,37998.0,39102.0,39103.0,39780.0,43551.0,45031.0,46194.0,46199.0,47118.0,,,,,,,,,,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,,,,,,,,,,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,,,,,,,,,,Aminor,Aminor,Adorian,Aminor,Bminor,Aminor,Aminor,Bminor,Eminor,Adorian,Amajor,Adorian,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Adorian,Aminor,Adorian,Adorian,Aminor,,,,,,,,,,2001-05-21 03:41:22,2003-05-29 07:19:18,2005-06-08 11:54:47,2008-01-18 22:20:16,2012-02-22 09:40:22,2014-04-27 23:02:04,2014-07-13 21:38:56,2015-12-21 01:12:55,2015-12-21 01:23:12,2016-01-16 06:38:56,2017-04-01 08:50:30,2017-10-03 15:45:09,2019-07-04 19:17:03,2019-07-28 18:28:24,2020-05-29 21:06:52,2020-09-26 02:45:46,2020-09-26 02:46:27,2020-12-06 19:09:33,2022-04-09 22:30:36,2022-10-11 19:57:17,2023-02-16 17:33:33,2023-02-16 22:05:45,2023-05-12 02:37:26,,,,,,,,,,Jeremy,Will Harmon,Gallopede,sonofrobert,birlibirdie,JACKB,m.r.kelahan,JACKB,JACKB,Thistledowne,Nigel Gatherer,Chris Quarles,NfldWhistler,NfldWhistler,NfldWhistler,NfldWhistler,NfldWhistler,GaryAMartin,Edgar Bolton,Makenzie,Thierry Masure,Fernando Durbán Galnares,JACKB,,,,,,,,,,Castle Kelly,"['Caisleán Uí Cheallaigh', ""Castle Kelly's"", 'Castlekelly', ""Jimmy's Folly"", ""Kelly's Castle""]"
"Dancing Dog, The",22,69,"Dancing Dog, The",22,12401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slide,slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/8,12/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amixolydian,Amixolydian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-05-21 03:42:33,2009-12-19 16:32:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeremy,muspc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dingle Regatta, The",23,633,"Dingle Regatta, The",23,12402.0,12403.0,24671.0,24672.0,25997.0,31122.0,,,,,,,,,,,,,,,,,,,,,,,,,,slide,slide,slide,slide,slide,slide,slide,,,,,,,,,,,,,,,,,,,,,,,,,,12/8,12/8,12/8,12/8,12/8,12/8,12/8,,,,,,,,,,,,,,,,,,,,,,,,,,Dmajor,Dmajor,Gmajor,Gmajor,Gmajor,Dmajor,Dmajor,,,,,,,,,,,,,,,,,,,,,,,,,,2001-05-21 03:43:44,2008-09-01 12:05:42,2012-01-10 19:40:24,2014-08-06 13:27:48,2014-08-06 13:31:00,2015-03-16 06:04:46,2017-10-07 02:01:29,,,,,,,,,,,,,,,,,,,,,,,,,,Jeremy,jakep,ceolachan,fidicen,fidicen,JACKB,CaseyAnn Michael,,,,,,,,,,,,,,,,,,,,,,,,,,"Dingle Regatta, The","['Garçon Volage', ""Slattery's Grove""]"
Dinkey's,24,836,Dinkey's,24,12404.0,12405.0,22640.0,23694.0,28529.0,42589.0,,,,,,,,,,,,,,,,,,,,,,,,,,reel,reel,reel,reel,reel,reel,reel,,,,,,,,,,,,,,,,,,,,,,,,,,4/4,4/4,4/4,4/4,4/4,4/4,4/4,,,,,,,,,,,,,,,,,,,,,,,,,,Amixolydian,Dmajor,Amixolydian,Amixolydian,Amixolydian,Amixolydian,Amixolydian,,,,,,,,,,,,,,,,,,,,,,,,,,2001-05-21 03:44:53,2006-05-03 15:57:56,2008-06-22 23:28:50,2013-11-01 08:13:50,2014-03-02 03:28:48,2016-03-27 10:13:20,2021-12-18 23:02:24,,,,,,,,,,,,,,,,,,,,,,,,,,Jeremy,patrickmclaurin,synaesthete402,fidkid,Tate,gian marco,shanachie,,,,,,,,,,,,,,,,,,,,,,,,,,Dinkey's,"[""Dinkey Dorian's"", ""Dinkey Dorrian's"", ""Dinkie Dorian's"", 'Dinkie Dorrian', ""Dinkie Dorrian's"", ""Dinkie's"", 'Dinkies', ""Dinky Dolan's"", ""Dinky Dorrian's"", ""Dinky's""]"
Donnybrook Fair,26,1259,Donnybrook Fair,26,25013.0,27493.0,28093.0,29034.0,33902.0,36614.0,,,,,,,,,,,,,,,,,,,,,,,,,,jig,jig,jig,jig,jig,jig,jig,,,,,,,,,,,,,,,,,,,,,,,,,,6/8,6/8,6/8,6/8,6/8,6/8,6/8,,,,,,,,,,,,,,,,,,,,,,,,,,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Fmajor,Gmajor,,,,,,,,,,,,,,,,,,,,,,,,,,2001-05-21 03:46:44,2014-10-22 19:28:34,2015-11-01 00:16:14,2016-01-14 21:10:25,2016-08-07 18:36:08,2019-01-01 19:20:27,2019-11-20 13:57:38,,,,,,,,,,,,,,,,,,,,,,,,,,Jeremy,giamp,Moxhe,Thistledowne,Thady Quill,fionán,JHowley,,,,,,,,,,,,,,,,,,,,,,,,,,Donnybrook Fair,"['An Carbhat', ""Andy Keone's"", 'Aonach Domhnach Broc', 'Aonach Domhnach Brocach', 'Caravat, The', 'Humours Of Donnybrook, The', 'Joy Of My Life, The', 'Joys Of Life, The', 'Joys Of Love, The', 'Joys Of My Life', 'Joys Of My Life, The', ""Kiss Me I'm Irish"", 'Lutgair Mo Beata', 'Our Little Green Isle', 'River Cree, The']"
Drowsy Maggie,27,6411,Drowsy Maggie,27,12406.0,12407.0,12408.0,12409.0,12410.0,12411.0,12412.0,12413.0,12414.0,12415.0,20867.0,21232.0,23223.0,23242.0,23248.0,24826.0,27945.0,27946.0,29583.0,31098.0,31476.0,35491.0,37487.0,39017.0,39098.0,39125.0,43099.0,46363.0,47097.0,,,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,,,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,,,Edorian,Edorian,Edorian,Dmajor,Edorian,Edorian,Edorian,Edorian,Edorian,Edorian,Gmajor,Edorian,Edorian,Bminor,Edorian,Edorian,Edorian,Edorian,Adorian,Edorian,Edorian,Edorian,Edorian,Edorian,Edorian,Edorian,Edorian,Edorian,Edorian,Edorian,,,2001-05-21 03:47:39,2003-05-27 14:55:51,2004-06-18 23:43:54,2004-06-19 00:33:38,2004-09-02 15:30:19,2005-04-26 23:33:20,2005-04-27 05:24:03,2005-04-27 16:59:07,2006-04-26 06:29:45,2008-03-18 16:16:55,2008-10-21 18:07:18,2013-02-09 05:47:41,2013-03-24 13:55:50,2014-01-02 12:39:38,2014-01-07 17:39:51,2014-01-09 00:12:35,2014-09-11 07:55:46,2015-12-21 09:55:26,2015-12-21 10:03:47,2016-12-31 13:46:29,2017-10-03 16:43:39,2017-12-11 10:41:57,2019-08-04 07:13:31,2020-03-20 21:21:24,2020-09-15 10:51:31,2020-09-25 18:20:47,2020-09-30 11:54:13,2022-02-12 15:57:02,2023-03-06 11:16:01,2023-05-11 01:32:23,,,Jeremy,Jamie,slainte,Phantom Button,dlowder,Dr. Dow,Dr. Dow,Phantom Button,bobgreen,Ramiro,flipe,Edgar Bolton,TomBom,jakethepeg,Lucy Rietmann,Lucy Rietmann,ebarr,JACKB,JACKB,G.Ryckeboer,Chris Quarles,Sergei Ejov,Bob Sturm,Chris Fargen,JACKB,Michael Machado,ceolachan,Michael Toomey,Katherine Duff,Aaron Bergen,,,Drowsy Maggie,"['Drowsey Maggie', 'Drowsie Maggie', 'Drowsy Maggy', 'Maggie Drowsy', 'Maggie Tuirseach', ""Maggie's Drowsy""]"
"Dusty Miller, The",28,317,"Dusty Miller, The",28,12416.0,12417.0,12418.0,12419.0,30762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,slip jig,slip jig,slip jig,slip jig,slip jig,slip jig,,,,,,,,,,,,,,,,,,,,,,,,,,,9/8,9/8,9/8,9/8,9/8,9/8,,,,,,,,,,,,,,,,,,,,,,,,,,,Gmajor,Amajor,Gmajor,Gmajor,Gmajor,Gmajor,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-05-21 03:48:34,2007-02-09 14:49:28,2007-07-22 13:04:11,2007-11-29 04:07:24,2008-11-09 04:08:48,2017-07-26 01:08:27,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeremy,gravelwalks,ceolachan,ceolachan,tin_whistler,CWB,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dusty Miller, The","[""Benny's Jig"", 'Dusty Millar, The', ""Johnny Docherty's"", 'Top The Candle']"
Dusty Windowsills,29,1506,Dusty Windowsills,29,12420.0,12421.0,22080.0,25885.0,33683.0,33694.0,36529.0,36530.0,36535.0,36536.0,36563.0,36564.0,39616.0,40157.0,45718.0,,,,,,,,,,,,,,,,,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,,,,,,,,,,,,,,,,,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,,,,,,,,,,,,,,,,,Adorian,Adorian,Adorian,Adorian,Adorian,Adorian,Adorian,Adorian,Adorian,Adorian,Adorian,Adorian,Adorian,Edorian,Adorian,Adorian,,,,,,,,,,,,,,,,,2001-05-21 03:49:49,2002-11-10 01:48:11,2009-06-06 17:38:30,2013-08-07 11:57:59,2015-03-02 21:59:28,2018-12-09 01:15:34,2018-12-09 22:49:44,2019-11-11 01:21:28,2019-11-11 02:45:30,2019-11-11 03:56:19,2019-11-11 04:51:35,2019-11-15 05:11:59,2019-11-15 05:22:17,2020-11-22 05:54:41,2021-01-11 21:44:08,2022-12-25 23:46:48,,,,,,,,,,,,,,,,,Jeremy,glauber,bdh,Bryce,JACKB,NfldWhistler,NfldWhistler,NfldWhistler,NfldWhistler,NfldWhistler,NfldWhistler,NfldWhistler,NfldWhistler,J.D.Duffy,Valentin Leroux,TJ,,,,,,,,,,,,,,,,,Dusty Windowsills,"['Austin Barratts', ""Austin Barrett's"", 'Blasket Sound, The', 'Chicago, The', 'Dust On The Windowsills', 'Dusty Windmill, The', 'Dusty Windowsill, The', 'Dusty Windowsills, The', 'Grandfather, The', ""Harding's"", ""Harling's"", 'Hiccup, The', ""John Harling's"", ""Johnny Harling's"", 'Nancy Harling', ""Tim Harding's"", 'Trip To The Highlands, The', 'Whiskey For Breakfast']"
Off To California,30,2052,Off To California,30,12422.0,21503.0,21791.0,26562.0,30333.0,31469.0,37213.0,37959.0,45168.0,45417.0,45418.0,46963.0,,,,,,,,,,,,,,,,,,,,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,,,,,,,,,,,,,,,,,,,,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,,,,,,,,,,,,,,,,,,,,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Amajor,,,,,,,,,,,,,,,,,,,,2001-05-21 03:50:44,2009-09-23 04:31:34,2013-05-04 04:09:38,2013-06-24 22:50:09,2015-05-30 14:54:34,2017-05-10 11:09:08,2017-12-11 08:22:14,2020-02-09 12:03:07,2020-05-26 02:09:54,2022-10-26 11:56:21,2022-11-21 14:31:48,2022-11-21 19:50:08,2023-04-30 17:02:32,,,,,,,,,,,,,,,,,,,,Jeremy,TunesFromDoolin,dcef,Bryce,Mix O'Lydian,Smiley,Sergei Ejov,Proinnsias MacSleimhne,BarbaryAnne,Alba03,lusoceltibero,Fernando Durbán Galnares,John E Roche,,,,,,,,,,,,,,,,,,,,Off To California,"['Bound For California', ""Fireman's"", ""Fireman's Reel"", ""Fireman's Reel, The"", ""Fireman's, The"", 'Going To California', 'Humours Of California, The', 'Imtigte Go California', 'Juggler, The', ""Miss Johnson's"", 'Off The California', 'Portsmouth Hornipe, The', 'Trip To California', 'Whiskey', 'Whiskey, The']"
Franc A'Phoill,31,299,Franc A'Phoill,31,12423.0,12491.0,23901.0,23906.0,29719.0,29972.0,30580.0,32774.0,39917.0,41072.0,45640.0,,,,,,,,,,,,,,,,,,,,,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,,,,,,,,,,,,,,,,,,,,,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,,,,,,,,,,,,,,,,,,,,,Dmajor,Dmixolydian,Dmajor,Dmajor,Gmajor,Dmajor,Dmajor,Gmajor,Dmixolydian,Dmixolydian,Dmajor,Gmajor,,,,,,,,,,,,,,,,,,,,,2001-05-21 03:51:46,2006-03-23 04:31:30,2010-05-17 05:56:51,2014-04-01 05:29:43,2014-04-02 00:24:41,2017-01-26 02:17:11,2017-03-02 14:30:26,2017-06-28 07:30:08,2018-07-28 16:27:52,2020-12-23 07:33:57,2021-04-22 22:09:48,2022-12-15 19:54:37,,,,,,,,,,,,,,,,,,,,,Jeremy,Dr. Dow,arpadoro,swisspiper,JACKB,JACKB,Dalta na bPíob,Ash O'Rourke,zoronic,J.D.Duffy,jamesa,Paul,,,,,,,,,,,,,,,,,,,,,Franc A'Phoill,"[""Frainc A Phoill's"", ""Frainc A'Phoill"", ""Frainc A'Phoill's"", 'Frainc An Phoill', ""Francis Faughey's Favourite"", 'Frank Of The Hollow', 'King Of The Pipers', 'King Of The Pipers, The', ""Walkin', The""]"
"Friendly Visit, The",32,194,"Friendly Visit, The",32,7307.0,12424.0,12425.0,12426.0,12427.0,26640.0,,,,,,,,,,,,,,,,,,,,,,,,,,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,,,,,,,,,,,,,,,,,,,,,,,,,,4/4,4/4,4/4,4/4,4/4,4/4,4/4,,,,,,,,,,,,,,,,,,,,,,,,,,Gmajor,Amajor,Amajor,Gmajor,Amajor,Amajor,Gmajor,,,,,,,,,,,,,,,,,,,,,,,,,,2001-05-21 03:52:45,2007-06-03 13:53:15,2007-06-04 07:42:01,2007-06-04 07:43:01,2012-10-19 05:54:45,2012-10-19 05:57:25,2015-06-15 05:16:26,,,,,,,,,,,,,,,,,,,,,,,,,,Jeremy,m_gavin,ceolachan,ceolachan,ceolachan,ceolachan,Phantom Button,,,,,,,,,,,,,,,,,,,,,,,,,,"Friendly Visit, The","['A Friendly Visit', ""Callana's Retreat"", ""Callanan's Retreat"", ""Smith's Favourite"", 'Tom Has Gone To The Fair', 'Whittle Dean', 'Whittle Dene', 'Wittle Dean']"
Farewell To Ireland,33,1454,Farewell To Ireland,33,12428.0,12429.0,12430.0,12431.0,12432.0,12433.0,25494.0,25520.0,27955.0,28659.0,31982.0,35785.0,41603.0,42044.0,44848.0,46313.0,46526.0,47087.0,,,,,,,,,,,,,,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,,,,,,,,,,,,,,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,,,,,,,,,,,,,,Adorian,Adorian,Emixolydian,Adorian,Adorian,Adorian,Adorian,Adorian,Adorian,Edorian,Adorian,Adorian,Adorian,Gmajor,Adorian,Adorian,Amixolydian,Adorian,Amixolydian,,,,,,,,,,,,,,2001-05-21 03:54:12,2008-03-11 20:13:47,2008-08-12 15:06:55,2009-11-25 14:25:03,2010-07-13 10:33:48,2012-01-10 17:09:34,2012-01-11 00:48:47,2014-12-29 02:26:37,2015-01-03 16:40:53,2015-12-22 06:44:21,2016-04-21 19:10:13,2018-03-08 20:09:36,2019-09-02 01:55:28,2021-07-14 16:18:15,2021-10-05 11:07:12,2022-09-19 08:28:04,2023-03-01 12:40:23,2023-03-24 12:52:24,2023-05-10 09:01:38,,,,,,,,,,,,,,Jeremy,ceolachan,ceolachan,Joe CSS,suaimhneas,Weejie,Weejie,JACKB,BillScates,JACKB,franriosvi,McMij,NfldWhistler,MichaelKoallins,Aberfoyle Whistler,Pat Higgins,Stiamh,Guilleflute,Benjamin Glauser,,,,,,,,,,,,,,Farewell To Ireland,"['Farewell To Éire', 'Farewell To Eirinn', 'Farewell To Erin', 'Goodbye To Ireland', 'Slán Le HÉireann', 'Slan Le HEirinn']"
