"chant_id","incipit","genre","mode","mode_name","finalis","composer","absolute_url","src_link","cantus_id"
"316977","Ecce veniet propheta magnus","Antiphon","4T","None","A","Anonymous","https://cantusdatabase.org/chant/316977","https://cantusdatabase.org/source/123708","002552"
"318548","Beatus Nicolaus jam triumpho","Responsory","6T","None","C","Anonymous","https://cantusdatabase.org/chant/318548","https://cantusdatabase.org/source/123708","006222"
"638376","Excita domine potentiam tuam et ","Gradual","2T","None","A","Anonymous","https://cantusdatabase.org/chant/638376","https://cantusdatabase.org/source/638308","g00521"
"669914","Longe a salute mea verba ","Tract verse","2","hypodorian","D","Anonymous","https://cantusdatabase.org/chant/669914","https://cantusdatabase.org/source/669907","g00848a"
"563256","Dirumpam vincula populi mei dicit ","Responsory","8","hypomixolydian","G","Anonymous","https://cantusdatabase.org/chant/563256","https://cantusdatabase.org/source/123756","006461"
"675593","Ad cenam agni providi et ","Hymn","1","dorian","D","Anonymous","https://cantusdatabase.org/chant/675593","https://cantusdatabase.org/source/669030","008249"
"561440","A viro iniquo libera me ","Antiphon","4","hypophrygian","E","Anonymous","https://cantusdatabase.org/chant/561440","https://cantusdatabase.org/source/123756","001197"
"671808","Sepulto domino signatum est monumentum ","Responsory","2","hypodorian","D","Anonymous","https://cantusdatabase.org/chant/671808","https://cantusdatabase.org/source/669163","007640"
"562360","Qui sunt hi sermones quos ","Antiphon","8","hypomixolydian","G","Anonymous","https://cantusdatabase.org/chant/562360","https://cantusdatabase.org/source/123756","004500"
"670719","Extollens quaedam mulier vocem de ","Antiphon","8","hypomixolydian","G","Anonymous","https://cantusdatabase.org/chant/670719","https://cantusdatabase.org/source/669163","002827"
"560969","Nesciens mater virgo virum peperit ","Antiphon","6","hypolydian","F","Anonymous","https://cantusdatabase.org/chant/560969","https://cantusdatabase.org/source/123756","003877"
"561782","Qui me misit mecum est ","Antiphon","1","dorian","D","Anonymous","https://cantusdatabase.org/chant/561782","https://cantusdatabase.org/source/123756","004482"
"561369","Exsultavit cor meum in domino","Antiphon","5","lydian","F","Anonymous","https://cantusdatabase.org/chant/561369","https://cantusdatabase.org/source/123756","002816"
"560671","Beata quae credidit quoniam perfecta ","Responsory verse","7","mixolydian","B","Anonymous","https://cantusdatabase.org/chant/560671","https://cantusdatabase.org/source/123756","006162b"
"562073","Cum angelis et pueris fideles ","Antiphon","7","mixolydian","G","Anonymous","https://cantusdatabase.org/chant/562073","https://cantusdatabase.org/source/123756","001974"
"669168","Jucundare filia Sion et exsulta ","Antiphon","8","hypomixolydian","G","Anonymous","https://cantusdatabase.org/chant/669168","https://cantusdatabase.org/source/669163","003509"
"671644","Cenantibus autem accepit Jesus panem ","Antiphon","1","dorian","D","Anonymous","https://cantusdatabase.org/chant/671644","https://cantusdatabase.org/source/669163","001781"
"561094","Reges Tharsis et insulae munera ","Responsory verse","7","mixolydian","B","Anonymous","https://cantusdatabase.org/chant/561094","https://cantusdatabase.org/source/123756","007314a"
"563236","Erat enim exercitus magnus valde ","Responsory verse","2","hypodorian","C","Anonymous","https://cantusdatabase.org/chant/563236","https://cantusdatabase.org/source/123756","007518a"
"560660","Facturae plasmator et conditor cunctorum ","Tropus","1","dorian","A","Anonymous","https://cantusdatabase.org/chant/560660","https://cantusdatabase.org/source/123756","006411Pzd"
"672130","Exaltabo te domine quoniam suscepisti ","Antiphon","8","hypomixolydian","G","Anonymous","https://cantusdatabase.org/chant/672130","https://cantusdatabase.org/source/669163","002755"
"307922","Qui vere deum contemplantur","Antiphon","7T","None","F","Anonymous","https://cantusdatabase.org/chant/307922","https://cantusdatabase.org/source/123686","205741"
"561615","Iter faciente Jesu dum ambularet ","Antiphon","1","dorian","D","Anonymous","https://cantusdatabase.org/chant/561615","https://cantusdatabase.org/source/123756","003463"
"323097","Esto mihi in deum protectorem","Responsory verse","1T","None","A","Anonymous","https://cantusdatabase.org/chant/323097","https://cantusdatabase.org/source/123711","006423a"
"561108","Adorate dominum alleluia in aula ","Antiphon","6","hypolydian","F","Anonymous","https://cantusdatabase.org/chant/561108","https://cantusdatabase.org/source/123756","001288"
"670254","Haec dies quam fecit dominus ","Gradual","2T","None","A","Anonymous","https://cantusdatabase.org/chant/670254","https://cantusdatabase.org/source/669907","008414"
"671281","Venite adoremus dominum et procidamus ","Antiphon","8T","None","D","Anonymous","https://cantusdatabase.org/chant/671281","https://cantusdatabase.org/source/620437","a01515"
