"chant_id","incipit","volpiano","mode","finalis","absolute_url","src_link"
"638074","O gravis labor et o ","1---d---g--fd---f--edc-d---d---ca---cd7--fed---cD--d---d---dg--f--ed---f---ed--cd---dC--a---cd-fedc--d---d--dh7---gfE--d---fe--d---d--cbc---d---dC--a-ccd---fE--d---ccA--cd--fedc-d7---4","2","D","cantusdatabase.org/chant/638074","cantusdatabase.org/source/588308"
"638171","O filiae Israel sub arbore ","1---dh---l-khg-h---ij--gf--ghgfedc-d---d---dh-j--gf--ed---f--ged--fe--d---ca---cd--d7---dca--cD-d---f---fed---fE--cd--d---d--dh--lK--khg--h---hG--hj--g--f--ed7---f-gghfedca--cd---dC--acbc--d---ffE--dc---f-ggh--fed--ca---cd--d---4","1","D","cantusdatabase.org/chant/638171","cantusdatabase.org/source/588308"
"698680","Quodcumque ligaveris super terram erit ","h--fg--g---g--h--g--e---f--g---efd--d---h--h---h--g7--f---hkg---jh---g--g---k---kh--kl--l---lm--lj--g---h--g---fgh--h---kk7--klg---g--h--ge---f---g---efd--d---h--h---h--h--h---h--k--jh---g--g---","8","g","cantusdatabase.org/chant/698680","cantusdatabase.org/source/698647"
"682664","Ecce virgo concipiet et pariet ","1---d--cfe---f--d---de--gh--gf--fe-fd---ef---gh-kklh7--gh--h---h--hkh--h---h---jk--hg--jhj--ghjkh---f--f---fh-jhgF--hg7---fge-fdC--df-gh--fed--d---4","1","D","cantusdatabase.org/chant/682664","cantusdatabase.org/source/682632"
"672387","Ecce virgo concipiet et pariet ","1---g--g---hk--k---k--k--jh--h---g7---k--kj--h---kh-jk--g--ef---hfgh--hjgf-ghg---e--e7-gff--fe---f---f--ef-gh--g--g---g--gh---h7--gfgh-hg---3---k--k--jh--kh-jkjhg--efh---hfgh--hjgf7-ghg---egf-fE--fe---4","3","E","cantusdatabase.org/chant/672387","cantusdatabase.org/source/669030"
"682648","Deus tu convertens vivificabis nos ","1---ghk--k---klk---kJ--kh--kkH7---gkkh--k--kkkhg--gkkk--hlkk---hgh-kkkhghh-gkhg-hff---f7---efg---hgk--kkjh-kg-gf---g--ghk--kkjh--h---hkh---hg---g--hk7--klj-klh-hg---kgh-kkh-lk--kkjh---hk--ghgfef--f---f--f7--f--efh--hkg--g---gf-hg--ff-dfd---g---kkh--h--hkh--g---ghgf-gh-jkh77--h---kkkg-khgf-gh-klj-kh---fhgf-gfe--e7---4","3","E","cantusdatabase.org/chant/682648","cantusdatabase.org/source/682632"
"638157","Ego aurea porta in caelo ","1---dcb-c--d7---f--fe--d---b-bC--d---a---cd--d---fed--bc---d---d---cB---b---cD--d-d7---fE--dc---e--fg--f---fe--db--cD--d--d---a---c-cD--d---fe--dc---e-eegfedd7--bc--d---4","2","D","cantusdatabase.org/chant/638157","cantusdatabase.org/source/588308"
"675615","Lauda fidelis concio spinae tropaeum ","1---g--hgf---g--h--g777---hj-kj--jh--hg---j--lml7---k--jh--g---hG--f7--g---j---l7---l--m---l--k--j--hjg---g7--hgf--g---h--g---hj-kj7--hg--g---3---g---hgf7---3","7","G","cantusdatabase.org/chant/675615","cantusdatabase.org/source/669030"
"588520","O speculum columbae castissimae formae ","1---e-dfe-cb-dc-abc---cdc--c-ddedfecb--dc7---ggfe-g--e-eegfedcB--dc---c--d--e-eeg-hg-g-ggjh-kjhg-efg-c-cced-fedc-cB--dc---ccB7--dec---c---dE--ed--fedc--abc---g--hg--efg---g--gfe--gfe-fdc--dc7---c---de--f--ghg-g-ggjh--kjhg-hg---e-eegF--hg---c---d--e---f--edc--dc--c7---g---hG--fe-ffg---g--g--gfedc---d--c--a-aaC--dc---c--d---e7--f--d-cdc--a-aac-dc---g--h--g-e-eegfedc-a-aac---c--ab---9---c---d--e--ge--d-ddfE7--dc---cdc--9a9c---c--de-fg--hgfedc--dca---cba-c-cce-fedc--cdc---cdc---a9-cdc7---c--d--e-eeg--hg---g-hj--kjhgg--f-ffg---g-ggj-kjhg--hj-kjhg-efg---g---hj--kj--hg7---hgg--e--gh--gfed--g-ggj-kjhg---g-hhk--j---k--hgf--gfed-g-ggj-kjhgf-gfe7---4","4","E","cantusdatabase.org/chant/588520","cantusdatabase.org/source/588308"
"638374","Domine deus virtutum converte nos ","1---gjh--h--h---h--h---h--kh-jkhg-jg-hj--h---h--kh7-klm--kjhgkhgfhgh---hf-gh-kkhg-hk-lkk-hjh---kk---k--kml--lk-kh---h--h--hl---lh-lm--khk-jkhgh---f---fgh-kjhk--gh7---kh--kl--lmlk-mnlk-khg-hkl-kmlmkjh-jkh---4","2T","A","cantusdatabase.org/chant/638374","cantusdatabase.org/source/638308"
"693847","In diebus illis mulier quae ","1---g---g--g--kj---k--lml---k--ln--n---n7---n--m---l---m--l--k--m---nm--l--l---k---l--mlm7--l---m---n--m---l--m--l--kl--k---l---k--kj7---hg--k--lm---nm--l--l---gh--hg-hk-gh--ghgf7---f--hk--kl--kjhj---hj--h--g--g---gj---kll7---kl--lg---g--h---k--k---m--l--n---nm--l---ml77--mno--nml---m--l---k--kjh--k---ln--mnm---m--ml7---nm---no--ono--l---n--m--l---m--kj---kl--l--l7---g---g--g--g--hg--hk-gh-gh-gf---f--hk---klk7k--kj---kj---kl--lm--kj--hj---hjh--g--g---3","7","G","cantusdatabase.org/chant/693847","cantusdatabase.org/source/693577"
"560532","Omnis vallis implebitur et omnis ","1---f--h---k--kj---hhG--h--gh--f---g---","5","F","cantusdatabase.org/chant/560532","cantusdatabase.org/source/123756"
"666508","praeparavit haec conditor solis atque ","1ij-k-l-k-l-l-k-l-l-n-o-n-m-n-o-n-l-n-n-l-k-l-k-l-l-n-o-n-m-n-o-n-l-n-n-l-k-l-k-l-l-m-l-k-l-k-m-k-l-m-l-m-m-l-m-m-k-m-n-l-k-k-h-ij-h4","?","A","cantusdatabase.org/chant/666508","cantusdatabase.org/source/664930"
"682643","Ex Sion species decoris ejus ","1---f---hk--khkjg-hkh-hf---hf-gh-kkl--k--klmlk-kjh---hkjk--hg--hk7---h--fhg-kj-khgh---hk-lk--kj-lmlk-kjh---h--k--khkjgh--fg---fgh7-kk-lmkh-jkhg-hkgh--f--ghg-hkh-fgf---4","5","F","cantusdatabase.org/chant/682643","cantusdatabase.org/source/682632"
"693834","Dominus Jesus postquam cenavit cum ","1---f--fed--df---cdf--f---cd--f---fg--f7--fef---c---d--f--ed--e---d--c---d--f---f--e7---d--e--d---dc---d--fe---ded--dc---de-fgh-hgh--d77---ef---g--fe--dc---cf--ggff---c--df---f--fed7--df---c---df--f--df---f--g--f---f--dc7---edc--ded---c---df---f---fe--dc---d--efe--d--d---4","2","D","cantusdatabase.org/chant/693834","cantusdatabase.org/source/693577"
"638190","O victoria quae istum in ","1---dh---l--kh--gh--h---h---g--f---eD---fed--d7---d-dca--cd--d--d---dh-ijh--gfed---eF---fg--ed--fe--d---cbc--d---dca---cD--d7---dh-jh--gf--ed---ef--g--ed--fed---dca-ccd---4","2","D","cantusdatabase.org/chant/638190","cantusdatabase.org/source/588308"
"682668","Benedixisti domine terram tuam avertisti ","1---h--hkj--kl--l--lm---mlkj-khg-kgh7-kk-lmlm-km-nlj-khg-hkhgh-lmnml-nml--nl--l---lmnml-mnml--lm77---mk-mlk-khk-khk-kkh-klmlk-mlk-lh--h---kk--k--lkjg7-hkjg-hk-jlm-kjh--hkhgh-kkh-kkjh-kg-gf7---f--gh--h--hkjhk--gh---kh-kl--lmlkj-klghk-kk-mlk-kkjh-jkh7---3","2T","A","cantusdatabase.org/chant/682668","cantusdatabase.org/source/682632"
"588628","O vos imitatores excelsae personae ","1---khk---lk---k--l--m--n--lk---m--nomnM--lk---lK--ijhg-g-ggkk--lk---k---l--k--ijhg--k--monmlkj-k--k---k---m--n--o77--q--nmn--o---o--n--m--l--k--lm--mlnmlkj-k---k---lm---nM--k---ij---lk--f---jjH--g-ggkk-lk---k--lm7---nnL--lkij---lk--h-hhk--lk---mmL--k---m---no-ppO-nm---nO---o--o---rq--po---po---nm--no--po--o7---3---o--nm--lk---lK--h-hhkhgf-g-ggij-k---k--mn--o---m---no-po--m-mmo---o---o--nmlk---lk--ijh-jjk--k---km-nno-m-mmo-po7-rqpo-ponmlkj-nm-h-hhk-nmlk-lkjhgf--g-ggij--k---4","5T/6T","C","cantusdatabase.org/chant/588628","cantusdatabase.org/source/588309"
"672621","Dixit dominus ad Adam de ","1---gh--g---gh--hg--g---gh-jk-lkjh---hl7-klm--l---jk---lm--m---ml---lmlkjh-kl-mlkjh-hg7--hg---gh---h--g--gh-jhg-hgf---g--gh-jk--kjhj--hg---g77---gh-hj--klkjh-lklm--l---3---lm---l---mn-onm-nml7-mnmn--ml---lm--lmlkjh--hlkj--j---j--jkj---jh7--jk-lkjh-jkjh--gh-jhgh--hg---4","7","G","cantusdatabase.org/chant/672621","cantusdatabase.org/source/672573"
"699518","Egredietur dominus de loco sancto ","h--g--h--k--k---k--lm--l---l---k--l---m--lk---l--l---h--l--j---k---h--h7---g--h--k---h--h---","4T","A","cantusdatabase.org/chant/699518","cantusdatabase.org/source/699507"
"699157","Haec autem scripta sunt ut ","g---fg--g---h--g---g---g---g--fefe--df---c--f---g--g---g---h--g---h--h--hkj---hg--g---ghg---f---h--hk-lkj-klkl--lk---kj--h---kj--hg--h--g---g---ge--g--g---f--e--d---f--fg--f--f---","8","g","cantusdatabase.org/chant/699157","cantusdatabase.org/source/699152"
"638158","O filia regis tu semper ","1---d---dh--lk--khj---gfg--h---hg---hjH--g---fed---dc---a--cd--fedc777--d---a---cD--d---fedc--d---d---dh---l--kh--gh---ij---gf--g---f--g7--gh--h---hG---hjH--fed---cd--d---4","1","D","cantusdatabase.org/chant/638158","cantusdatabase.org/source/588308"
"672260","Si diligeretis me gauderetis utique ","1---g---g--j--k--l--m---l---l--l--m--n---o--nm7--l---m--l---jk--lk---hG---g--g---kj--h---kl--l7---lm--kj---h---jk---lK--h--g--g---4---l--l--m--l--k--jh77---3","7","G","cantusdatabase.org/chant/672260","cantusdatabase.org/source/669030"
"673026","Audi Maria Christi virgo spiritus ","1---lm--ml---mo--on--ml---m--ml---lmlj--kj---m--m77--lk---klk--kjlk---j--k--lm--l--kj---hj---kj---jk---l7--kj---h--hj--hg--hg---g--gh--hg--fg---g--hg7---4","7","G","cantusdatabase.org/chant/673026","cantusdatabase.org/source/672573"
"699074","Sanctus Petrus de torrente mortificationis ","c--d---dhij--h---hg---f--g-fgh--h---ijh--gf--ef--gf--g--h--g---ef---g--fe---d--d---hg-hj--j--j--h---h--kl--lk--jh---g--f---gh---defgef--ed--d---","1","d","cantusdatabase.org/chant/699074","cantusdatabase.org/source/699072"
