popularity_name,tune_id,popularity_tunebooks,tunes_setting_id,tunes_name,tunes_type,tunes_meter,tunes_mode,tunes_abc,tunes_date,tunes_username,recordings_id,recordings_artist,recordings_recording,recordings_track,recordings_number,recordings_tune,aliases_name,aliases_alias
'S Iomadh Rud A Chunnaic Mi,5478,146.0,5478,'S Iomadh Rud A Chunnaic Mi,reel,4/4,Gmajor,"ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GA|
ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GA|",2006-02-03 04:45:46,Andy F,1252.0,Hamish Moore,Stepping On The Bridge,3.0,4.0,Go Immediately,'S Iomadh Rud A Chunnaic Mi,"[""'S Ioma Rud A Chunna Mi"", ""'S Iomadh Rud A Chunna Mi"", ""'S Iomadh Rud A Chunnaic Mi Highland Fling"", ""'S Iomaidh Rud A'Chunna Mi"", ""'S Ionadh Riud A Chunnaic Mi"", ""'Siomadh Rud A Chunna Mi"", 'Cenneag Mhor', 'Many Things Have I Seen', ""Many's The Thing I Saw""]"
'S Iomadh Rud A Chunnaic Mi,5478,146.0,5478,'S Iomadh Rud A Chunnaic Mi,reel,4/4,Gmajor,"ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GA|
ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GA|",2006-02-03 04:45:46,Andy F,5409.0,Iona Session,Island Wild,4.0,4.0,S'iomadh Rud A Chunnaic Mi,'S Iomadh Rud A Chunnaic Mi,"[""'S Ioma Rud A Chunna Mi"", ""'S Iomadh Rud A Chunna Mi"", ""'S Iomadh Rud A Chunnaic Mi Highland Fling"", ""'S Iomaidh Rud A'Chunna Mi"", ""'S Ionadh Riud A Chunnaic Mi"", ""'Siomadh Rud A Chunna Mi"", 'Cenneag Mhor', 'Many Things Have I Seen', ""Many's The Thing I Saw""]"
'S Iomadh Rud A Chunnaic Mi,5478,146.0,5478,'S Iomadh Rud A Chunnaic Mi,reel,4/4,Gmajor,"ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GA|
ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GA|",2006-02-03 04:45:46,Andy F,5967.0,Kevin Burke,An Evening with Kevin Burke,6.0,2.0,S'ioma Rud A Chunnaic Mi,'S Iomadh Rud A Chunnaic Mi,"[""'S Ioma Rud A Chunna Mi"", ""'S Iomadh Rud A Chunna Mi"", ""'S Iomadh Rud A Chunnaic Mi Highland Fling"", ""'S Iomaidh Rud A'Chunna Mi"", ""'S Ionadh Riud A Chunnaic Mi"", ""'Siomadh Rud A Chunna Mi"", 'Cenneag Mhor', 'Many Things Have I Seen', ""Many's The Thing I Saw""]"
'S Iomadh Rud A Chunnaic Mi,5478,146.0,5478,'S Iomadh Rud A Chunnaic Mi,reel,4/4,Gmajor,"ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GA|
ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GA|",2006-02-03 04:45:46,Andy F,405.0,Kevin Burke,In Good Company - The Very Best Of,15.0,2.0,S'iomadh Rud A Chunnaic Mi,'S Iomadh Rud A Chunnaic Mi,"[""'S Ioma Rud A Chunna Mi"", ""'S Iomadh Rud A Chunna Mi"", ""'S Iomadh Rud A Chunnaic Mi Highland Fling"", ""'S Iomaidh Rud A'Chunna Mi"", ""'S Ionadh Riud A Chunnaic Mi"", ""'Siomadh Rud A Chunna Mi"", 'Cenneag Mhor', 'Many Things Have I Seen', ""Many's The Thing I Saw""]"
'S Iomadh Rud A Chunnaic Mi,5478,146.0,5478,'S Iomadh Rud A Chunnaic Mi,reel,4/4,Gmajor,"ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GA|
ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GA|",2006-02-03 04:45:46,Andy F,100.0,Kevin Burke And Mícheál Ó Domhnaill,Portland,7.0,2.0,S'iomadh Rud A Chunnaic Mi,'S Iomadh Rud A Chunnaic Mi,"[""'S Ioma Rud A Chunna Mi"", ""'S Iomadh Rud A Chunna Mi"", ""'S Iomadh Rud A Chunnaic Mi Highland Fling"", ""'S Iomaidh Rud A'Chunna Mi"", ""'S Ionadh Riud A Chunnaic Mi"", ""'Siomadh Rud A Chunna Mi"", 'Cenneag Mhor', 'Many Things Have I Seen', ""Many's The Thing I Saw""]"
'S Iomadh Rud A Chunnaic Mi,5478,146.0,5478,'S Iomadh Rud A Chunnaic Mi,reel,4/4,Gmajor,"ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GA|
ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GA|",2006-02-03 04:45:46,Andy F,2009.0,Malinky,The Unseen Hours,4.0,5.0,Many's The Thing I Saw,'S Iomadh Rud A Chunnaic Mi,"[""'S Ioma Rud A Chunna Mi"", ""'S Iomadh Rud A Chunna Mi"", ""'S Iomadh Rud A Chunnaic Mi Highland Fling"", ""'S Iomaidh Rud A'Chunna Mi"", ""'S Ionadh Riud A Chunnaic Mi"", ""'Siomadh Rud A Chunna Mi"", 'Cenneag Mhor', 'Many Things Have I Seen', ""Many's The Thing I Saw""]"
'S Iomadh Rud A Chunnaic Mi,5478,146.0,5478,'S Iomadh Rud A Chunnaic Mi,reel,4/4,Gmajor,"ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GA|
ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GA|",2006-02-03 04:45:46,Andy F,3989.0,Mànran,Mànran,12.0,3.0,'S Ioma Rud A Chunna Mi,'S Iomadh Rud A Chunnaic Mi,"[""'S Ioma Rud A Chunna Mi"", ""'S Iomadh Rud A Chunna Mi"", ""'S Iomadh Rud A Chunnaic Mi Highland Fling"", ""'S Iomaidh Rud A'Chunna Mi"", ""'S Ionadh Riud A Chunnaic Mi"", ""'Siomadh Rud A Chunna Mi"", 'Cenneag Mhor', 'Many Things Have I Seen', ""Many's The Thing I Saw""]"
'S Iomadh Rud A Chunnaic Mi,5478,146.0,5478,'S Iomadh Rud A Chunnaic Mi,reel,4/4,Gmajor,"ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GA|
ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GA|",2006-02-03 04:45:46,Andy F,6920.0,"Mike McGoldrick, John McCusker, John Doyle",The Reed That Bends in the Storm,6.0,2.0,Siomadh Rud A Chunna Mi,'S Iomadh Rud A Chunnaic Mi,"[""'S Ioma Rud A Chunna Mi"", ""'S Iomadh Rud A Chunna Mi"", ""'S Iomadh Rud A Chunnaic Mi Highland Fling"", ""'S Iomaidh Rud A'Chunna Mi"", ""'S Ionadh Riud A Chunnaic Mi"", ""'Siomadh Rud A Chunna Mi"", 'Cenneag Mhor', 'Many Things Have I Seen', ""Many's The Thing I Saw""]"
'S Iomadh Rud A Chunnaic Mi,5478,146.0,5478,'S Iomadh Rud A Chunnaic Mi,reel,4/4,Gmajor,"ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GA|
ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GA|",2006-02-03 04:45:46,Andy F,5704.0,Skipinnish,Atlantic Roar,7.0,3.0,S'iomadh Rud A Chunna Mi,'S Iomadh Rud A Chunnaic Mi,"[""'S Ioma Rud A Chunna Mi"", ""'S Iomadh Rud A Chunna Mi"", ""'S Iomadh Rud A Chunnaic Mi Highland Fling"", ""'S Iomaidh Rud A'Chunna Mi"", ""'S Ionadh Riud A Chunnaic Mi"", ""'Siomadh Rud A Chunna Mi"", 'Cenneag Mhor', 'Many Things Have I Seen', ""Many's The Thing I Saw""]"
'S Iomadh Rud A Chunnaic Mi,5478,146.0,5478,'S Iomadh Rud A Chunnaic Mi,reel,4/4,Gmajor,"ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GA|
ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GA|",2006-02-03 04:45:46,Andy F,5658.0,Skipinnish,The Seventh Wave,13.0,4.0,S'iomadh Rud A Chunna Mi,'S Iomadh Rud A Chunnaic Mi,"[""'S Ioma Rud A Chunna Mi"", ""'S Iomadh Rud A Chunna Mi"", ""'S Iomadh Rud A Chunnaic Mi Highland Fling"", ""'S Iomaidh Rud A'Chunna Mi"", ""'S Ionadh Riud A Chunnaic Mi"", ""'Siomadh Rud A Chunna Mi"", 'Cenneag Mhor', 'Many Things Have I Seen', ""Many's The Thing I Saw""]"
